id	role_id	permission_id	created_at	updated_at
63	2	28	2025-05-18 23:47:47	2025-05-18 23:47:47
64	2	29	2025-05-18 23:47:47	2025-05-18 23:47:47
65	2	30	2025-05-18 23:47:47	2025-05-18 23:47:47
66	2	36	2025-05-18 23:47:47	2025-05-18 23:47:47
67	2	37	2025-05-18 23:47:47	2025-05-18 23:47:47
68	2	38	2025-05-18 23:47:47	2025-05-18 23:47:47
69	2	39	2025-05-18 23:47:47	2025-05-18 23:47:47
70	2	40	2025-05-18 23:47:47	2025-05-18 23:47:47
71	2	41	2025-05-18 23:47:47	2025-05-18 23:47:47
72	2	42	2025-05-18 23:47:47	2025-05-18 23:47:47
73	2	43	2025-05-18 23:47:47	2025-05-18 23:47:47
74	2	44	2025-05-18 23:47:47	2025-05-18 23:47:47
75	2	45	2025-05-18 23:47:47	2025-05-18 23:47:47
76	3	11	2025-05-18 23:47:47	2025-05-18 23:47:47
77	3	12	2025-05-18 23:47:47	2025-05-18 23:47:47
78	3	13	2025-05-18 23:47:47	2025-05-18 23:47:47
79	3	14	2025-05-18 23:47:47	2025-05-18 23:47:47
80	3	15	2025-05-18 23:47:47	2025-05-18 23:47:47
81	3	16	2025-05-18 23:47:47	2025-05-18 23:47:47
82	3	17	2025-05-18 23:47:47	2025-05-18 23:47:47
83	3	18	2025-05-18 23:47:47	2025-05-18 23:47:47
84	3	19	2025-05-18 23:47:47	2025-05-18 23:47:47
85	3	20	2025-05-18 23:47:47	2025-05-18 23:47:47
86	3	21	2025-05-18 23:47:47	2025-05-18 23:47:47
87	3	22	2025-05-18 23:47:47	2025-05-18 23:47:47
88	3	23	2025-05-18 23:47:47	2025-05-18 23:47:47
89	3	24	2025-05-18 23:47:47	2025-05-18 23:47:47
90	3	25	2025-05-18 23:47:47	2025-05-18 23:47:47
91	3	36	2025-05-18 23:47:47	2025-05-18 23:47:47
92	3	37	2025-05-18 23:47:47	2025-05-18 23:47:47
93	3	38	2025-05-18 23:47:47	2025-05-18 23:47:47
94	3	39	2025-05-18 23:47:47	2025-05-18 23:47:47
95	3	40	2025-05-18 23:47:47	2025-05-18 23:47:47
